network_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
51,303.85,274.83,235.35,257.56,270.69,229.2,300.32,246.77,265.64,406.49,214.35,146.48,340.28,185.48,364.03,233.33,146.47,228.8,406.42,468.11,181.06,243.68,181.7,289.17,203.34,246.54,267.71,174.8,221.13,147.68,184.71,99.82,189.17,205.73,216.69,117.7,203.04,332.77,90.47,113.25,100.71,33.75,84.08,54.79,226.02,142.52,54.17,126.88,281.92,75.35,170.69,0,294.24,170.99,465.93,96.18,193.66,383.67,319.96,30.43,187.9
52,367.57,338.55,299.07,191,26.99,162.64,233.76,180.21,278.76,691.29,278.07,159.6,625.08,249.2,83.95,83.57,431.27,119.52,691.22,752.91,342.82,528.48,466.5,573.97,365.1,137.26,158.43,336.56,111.85,309.44,469.51,261.58,112.43,218.85,150.13,193.44,93.76,52.69,252.23,275.01,262.47,286.59,245.84,245.85,387.78,304.28,338.97,185.8,345.64,225.11,234.41,294.24,0,132.57,750.73,380.98,174.08,668.47,383.68,315.23,349.66
53,244.32,215.3,175.82,95.89,109.02,67.53,138.65,85.1,155.51,568.04,154.82,36.35,501.83,125.95,202.36,71.66,308.02,67.13,567.97,629.66,219.57,405.23,343.25,450.72,241.85,84.87,106.04,213.31,59.46,186.19,346.26,138.33,27.5,95.6,55.02,70.19,41.37,171.1,128.98,151.76,139.22,163.34,122.59,122.6,264.53,181.03,215.72,62.55,222.39,101.86,111.16,170.99,132.57,0,627.48,257.73,50.83,545.22,260.43,191.98,226.41
54,760.34,731.32,691.84,714.05,727.18,685.69,756.81,703.26,722.13,438.7,670.84,602.97,149.37,641.97,820.52,689.82,334.1,685.29,438.63,500.32,637.55,275.89,310.63,234.2,659.83,703.03,724.2,631.29,677.62,604.17,301.64,556.31,645.66,662.22,673.18,574.19,659.53,789.26,546.96,569.74,557.2,490.24,540.57,511.28,682.51,599.01,423.6,583.37,738.41,531.84,627.18,465.93,750.73,627.48,0,385.33,650.15,415.88,776.45,463.38,644.39
55,390.59,361.57,322.09,344.3,357.43,315.94,387.06,333.51,352.38,325.89,301.09,233.22,259.68,272.22,450.77,320.07,65.87,315.54,325.82,387.51,267.8,163.08,101.1,208.57,290.08,333.28,354.45,261.54,307.87,234.42,104.11,186.56,275.91,292.47,303.43,204.44,289.78,419.51,177.21,199.99,187.45,120.49,170.82,141.53,312.76,229.26,53.85,213.62,368.66,162.09,257.43,96.18,380.98,257.73,385.33,0,280.4,303.07,406.7,93.63,274.64
56,266.99,237.97,198.49,137.4,150.53,109.04,180.16,126.61,178.18,590.71,177.49,59.02,524.5,148.62,243.87,113.17,330.69,108.64,590.64,652.33,242.24,427.9,365.92,473.39,264.52,126.38,147.55,235.98,100.97,208.86,368.93,161,69.01,118.27,96.53,92.86,82.88,212.61,151.65,174.43,161.89,186.01,145.26,145.27,287.2,203.7,238.39,85.22,245.06,124.53,133.83,193.66,174.08,50.83,650.15,280.4,0,567.89,283.1,214.65,249.08
57,678.08,649.06,609.58,631.79,644.92,603.43,674.55,621,639.87,38.1,588.58,520.71,290.23,559.71,738.26,607.56,251.84,603.03,38.03,99.72,555.29,162.89,228.37,239.12,577.57,620.77,641.94,549.03,595.36,521.91,219.38,474.05,563.4,579.96,590.92,491.93,577.27,707,464.7,487.48,474.94,407.98,458.31,429.02,600.25,516.75,341.34,501.11,656.15,449.58,544.92,383.67,668.47,545.22,415.88,303.07,567.89,0,694.19,381.12,562.13
58,91.35,62.33,92.43,347,360.13,318.64,389.76,336.21,355.08,717.01,193.93,235.92,650.8,145.58,453.47,322.77,456.99,318.24,716.94,778.63,368.54,554.2,492.22,599.69,390.82,335.98,357.15,362.28,310.57,335.16,495.23,287.3,278.61,295.17,306.13,219.16,292.48,422.21,277.95,300.73,288.19,312.31,271.56,271.57,413.5,330,364.69,216.32,139,250.83,162.27,319.96,383.68,260.43,776.45,406.7,283.1,694.19,0,340.95,375.38
59,324.84,295.82,256.34,278.55,291.68,250.19,321.31,267.76,286.63,403.94,235.34,167.47,337.73,206.47,385.02,254.32,143.92,249.79,403.87,465.56,202.05,241.13,179.15,286.62,224.33,267.53,288.7,195.79,242.12,168.67,182.16,120.81,210.16,226.72,237.68,138.69,224.03,353.76,111.46,134.24,121.7,54.74,105.07,75.78,247.01,163.51,51.62,147.87,302.91,96.34,191.68,30.43,315.23,191.98,463.38,93.63,214.65,381.12,340.95,0,208.89
60,359.27,330.25,290.77,312.98,326.11,284.62,355.74,302.19,321.06,584.95,269.77,201.9,518.74,240.9,419.45,288.75,324.93,284.22,584.88,646.57,31.5,422.14,360.16,467.63,53.78,301.96,323.13,37.24,276.55,55.26,363.17,100.88,244.59,261.15,272.11,173.12,258.46,388.19,105.07,85.55,100.09,180.25,116.02,139.51,49.62,67.9,232.63,182.3,337.34,130.77,226.11,187.9,349.66,226.41,644.39,274.64,249.08,562.13,375.38,208.89,0
