network_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
12,634.69,605.67,566.19,588.4,601.53,560.04,631.16,577.61,596.48,313.05,545.19,477.32,0,516.32,694.87,564.17,208.45,559.64,312.98,374.67,511.9,150.24,184.98,108.55,534.18,577.38,598.55,505.64,551.97,478.52,175.99,430.66,520.01,536.57,547.53,448.54,533.88,663.61,421.31,444.09,431.55,364.59,414.92,385.63,556.86,473.36,297.95,457.72,612.76,406.19,501.53,340.28,625.08,501.83,149.37,259.68,524.5,290.23,650.8,337.73,518.74
13,129.47,100.45,60.97,212.52,225.65,184.16,255.28,201.73,220.6,582.53,59.45,101.44,516.32,0,318.99,188.29,322.51,183.76,582.46,644.15,234.06,419.72,357.74,465.21,256.34,201.5,222.67,227.8,176.09,200.68,360.75,152.82,144.13,160.69,171.65,84.68,158,287.73,143.47,166.25,153.71,177.83,137.08,137.09,279.02,195.52,230.21,81.84,107.54,116.35,27.79,185.48,249.2,125.95,641.97,272.22,148.62,559.71,145.58,206.47,240.9
14,437.36,408.34,368.86,260.79,96.78,232.43,303.55,250,348.55,761.08,347.86,229.39,694.87,318.99,0,153.36,501.06,189.31,761.01,822.7,412.61,598.27,536.29,643.76,434.89,207.05,228.22,406.35,181.64,379.23,539.3,331.37,182.22,288.64,219.92,263.23,163.55,41.56,322.02,344.8,332.26,356.38,315.63,315.64,457.57,374.07,408.76,255.59,415.43,294.9,304.2,364.03,83.95,202.36,820.52,450.77,243.87,738.26,453.47,385.02,419.45
15,306.66,277.64,238.16,130.09,60.02,101.73,172.85,119.3,217.85,630.38,217.16,98.69,564.17,188.29,153.36,0,370.36,58.61,630.31,692,281.91,467.57,405.59,513.06,304.19,76.35,97.52,275.65,50.94,248.53,408.6,200.67,51.52,157.94,89.22,132.53,32.85,122.1,191.32,214.1,201.56,225.68,184.93,184.94,326.87,243.37,278.06,124.89,284.73,164.2,173.5,233.33,83.57,71.66,689.82,320.07,113.17,607.56,322.77,254.32,288.75
16,440.88,411.86,372.38,394.59,407.72,366.23,437.35,383.8,402.67,274.66,351.38,283.51,208.45,322.51,501.06,370.36,0,365.83,274.59,336.28,318.09,111.85,49.87,157.34,340.37,383.57,404.74,311.83,358.16,284.71,52.88,236.85,326.2,342.76,353.72,254.73,340.07,469.8,227.5,250.28,237.74,170.78,221.11,191.82,363.05,279.55,104.14,263.91,418.95,212.38,307.72,146.47,431.27,308.02,334.1,65.87,330.69,251.84,456.99,143.92,324.93
17,302.13,273.11,233.63,125.56,95.97,97.2,168.32,114.77,213.32,625.85,212.63,94.16,559.64,183.76,189.31,58.61,365.83,0,625.78,687.47,277.38,463.04,401.06,508.53,299.66,22.7,43.87,271.12,10.65,244,404.07,196.14,46.99,153.41,84.69,128,28.32,158.05,186.79,209.57,197.03,221.15,180.4,180.41,322.34,238.84,273.53,120.36,280.2,159.67,168.97,228.8,119.52,67.13,685.29,315.54,108.64,603.03,318.24,249.79,284.22
18,700.83,671.81,632.33,654.54,667.67,626.18,697.3,643.75,662.62,60.85,611.33,543.46,312.98,582.46,761.01,630.31,274.59,625.78,0,122.47,578.04,185.64,251.12,261.87,600.32,643.52,664.69,571.78,618.11,544.66,242.13,496.8,586.15,602.71,613.67,514.68,600.02,729.75,487.45,510.23,497.69,430.73,481.06,451.77,623,539.5,364.09,523.86,678.9,472.33,567.67,406.42,691.22,567.97,438.63,325.82,590.64,38.03,716.94,403.87,584.88
19,762.52,733.5,694.02,716.23,729.36,687.87,758.99,705.44,724.31,69,673.02,605.15,374.67,644.15,822.7,692,336.28,687.47,122.47,0,639.73,247.33,312.81,323.56,662.01,705.21,726.38,633.47,679.8,606.35,303.82,558.49,647.84,664.4,675.36,576.37,661.71,791.44,549.14,571.92,559.38,492.42,542.75,513.46,684.69,601.19,425.78,585.55,740.59,534.02,629.36,468.11,752.91,629.66,500.32,387.51,652.33,99.72,778.63,465.56,646.57
20,352.43,323.41,283.93,306.14,319.27,277.78,348.9,295.35,314.22,578.11,262.93,195.06,511.9,234.06,412.61,281.91,318.09,277.38,578.04,639.73,0,415.3,353.32,460.79,34.46,295.12,316.29,30.4,269.71,48.42,356.33,94.04,237.75,254.31,265.27,166.28,251.62,381.35,98.23,78.71,93.25,173.41,109.18,132.67,69.62,61.06,225.79,175.46,330.5,123.93,219.27,181.06,342.82,219.57,637.55,267.8,242.24,555.29,368.54,202.05,31.5
21,538.09,509.07,469.59,491.8,504.93,463.44,534.56,481.01,499.88,185.71,448.59,380.72,150.24,419.72,598.27,467.57,111.85,463.04,185.64,247.33,415.3,0,88.38,99.13,437.58,480.78,501.95,409.04,455.37,381.92,79.39,334.06,423.41,439.97,450.93,351.94,437.28,567.01,324.71,347.49,334.95,267.99,318.32,289.03,460.26,376.76,201.35,361.12,516.16,309.59,404.93,243.68,528.48,405.23,275.89,163.08,427.9,162.89,554.2,241.13,422.14
22,476.11,447.09,407.61,429.82,442.95,401.46,472.58,419.03,437.9,251.19,386.61,318.74,184.98,357.74,536.29,405.59,49.87,401.06,251.12,312.81,353.32,88.38,0,133.87,375.6,418.8,439.97,347.06,393.39,319.94,29.41,272.08,361.43,377.99,388.95,289.96,375.3,505.03,262.73,285.51,272.97,206.01,256.34,227.05,398.28,314.78,139.37,299.14,454.18,247.61,342.95,181.7,466.5,343.25,310.63,101.1,365.92,228.37,492.22,179.15,360.16
